#Acceptor concentration [cm-3]	Jn [A cm-2]:0	Jn [A cm-2]:1	Jn [A cm-2]:2	ArsenicActiveConcentration	BoronActiveConcentration	Conduction band level [eV]	Donor concentration [cm-3]	Dopant concentration [cm-3]	DopingConcentration	Electron Mobility [cm2 s-1 V-1]	Electron density [cm-3]	Electron quasi fermi band level [eV]	Electron quasi fermi potential [V]	Electrostatic potential [V]	G Impact ionization [cm-3 s-1]	GR Auger [cm-3 s-1]	GR Srh [cm-3 s-1]	Hole Mobility [cm2 s-1 V-1]	Hole density [cm-3]	Hole quasi fermi band level [eV]	Hole quasi fermi potential [V]	Middle band level [eV]	PhosphorusActiveConcentration	Space Charge [cm-3]	Valence band level [eV]	Jp [A cm-2]:0	Jp [A cm-2]:1	Jp [A cm-2]:2	Electron Avalanche field [V cm-1]	Hole Avalanche field [V cm-1]	Electric field [V cm-1]:0	Electric field [V cm-1]:1	Electric field [V cm-1]:2	Electron velocity [cm s-1]:0	Electron velocity [cm s-1]:1	Electron velocity [cm s-1]:2	Grad Electron quasi fermi potential [V cm]:0	Grad Electron quasi fermi potential [V cm]:1	Grad Electron quasi fermi potential [V cm]:2	Grad Hole quasi fermi potential [V cm]:0	Grad Hole quasi fermi potential [V cm]:1	Grad Hole quasi fermi potential [V cm]:2	Hole velocity [cm s-1]:0	Hole velocity [cm s-1]:1	Hole velocity [cm s-1]:2	Jn element [A cm-2]:0	Jn element [A cm-2]:1	Jn element [A cm-2]:2	Jp element [A cm-2]:0	Jp element [A cm-2]:1	Jp element [A cm-2]:2	vtkValidPointMask	arc_length	Points:0	Points:1	Points:2
0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	3.76E+000	0.00E+000	1.00E-040	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-6.07E-003	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-7.37E-001	0.00E+000	1.00E-040	-5.24E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-3.46E+002	2.80E+003	2.51E+004	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	1	0.00E+000	1.00E-001	0.00E+000	2.20E-001
0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	3.76E+000	0.00E+000	1.00E-040	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-6.63E-003	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-7.37E-001	0.00E+000	1.00E-040	-5.24E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-3.46E+002	2.80E+003	2.51E+004	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	1	2.00E-003	1.00E-001	2.00E-003	2.20E-001
0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	3.76E+000	0.00E+000	1.00E-040	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-7.20E-003	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-7.36E-001	0.00E+000	1.00E-040	-5.24E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-1.43E+002	3.00E+003	2.52E+004	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	1	4.00E-003	1.00E-001	4.00E-003	2.20E-001
0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	3.76E+000	0.00E+000	1.00E-040	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-7.80E-003	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-7.36E-001	0.00E+000	1.00E-040	-5.24E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-1.43E+002	3.00E+003	2.52E+004	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	1	6.00E-003	1.00E-001	6.00E-003	2.20E-001
0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	3.76E+000	0.00E+000	1.00E-040	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-8.40E-003	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-7.35E-001	0.00E+000	1.00E-040	-5.24E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-1.43E+002	3.00E+003	2.52E+004	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	1	8.00E-003	1.00E-001	8.00E-003	2.20E-001
0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	3.77E+000	0.00E+000	1.00E-040	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-9.00E-003	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-7.35E-001	0.00E+000	1.00E-040	-5.23E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-1.43E+002	3.00E+003	2.52E+004	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	1	1.00E-002	1.00E-001	1.00E-002	2.20E-001
0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	3.77E+000	0.00E+000	1.00E-040	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-9.60E-003	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-7.34E-001	0.00E+000	1.00E-040	-5.23E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-1.43E+002	3.00E+003	2.52E+004	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	1	1.20E-002	1.00E-001	1.20E-002	2.20E-001
0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	3.77E+000	0.00E+000	1.00E-040	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-1.11E-002	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-7.32E-001	0.00E+000	1.00E-040	-5.23E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-3.88E+002	8.77E+003	2.52E+004	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	1	1.40E-002	1.00E-001	1.40E-002	2.20E-001
0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	3.77E+000	0.00E+000	1.00E-040	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-1.28E-002	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-7.31E-001	0.00E+000	1.00E-040	-5.23E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	9.34E+001	9.25E+003	2.56E+004	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	1	1.60E-002	1.00E-001	1.60E-002	2.20E-001
0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	3.77E+000	0.00E+000	1.00E-040	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-1.47E-002	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-7.29E-001	0.00E+000	1.00E-040	-5.23E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	9.34E+001	9.25E+003	2.56E+004	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	1	1.80E-002	1.00E-001	1.80E-002	2.20E-001
0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	3.77E+000	0.00E+000	1.00E-040	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-1.65E-002	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-7.27E-001	0.00E+000	1.00E-040	-5.23E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	8.43E+002	9.25E+003	2.56E+004	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	1	2.00E-002	1.00E-001	2.00E-002	2.20E-001
0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	3.77E+000	0.00E+000	1.00E-040	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-1.84E-002	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-7.25E-001	0.00E+000	1.00E-040	-5.23E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	8.43E+002	9.25E+003	2.56E+004	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	1	2.20E-002	1.00E-001	2.20E-002	2.20E-001
0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	3.78E+000	0.00E+000	1.00E-040	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-2.02E-002	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-7.23E-001	0.00E+000	1.00E-040	-5.22E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	8.43E+002	9.25E+003	2.56E+004	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	-0.00E+000	1	2.40E-002	1.00E-001	2.40E-002	2.20E-001
