"Acceptor concentration [cm-3]","Jn [A cm-2]:0","Jn [A cm-2]:1","Jn [A cm-2]:2","ArsenicActiveConcentration","BoronActiveConcentration","Conduction band level [eV]","Donor concentration [cm-3]","Dopant concentration [cm-3]","DopingConcentration","Electron Mobility [cm2 s-1 V-1]","Electron density [cm-3]","Electron quasi fermi band level [eV]","Electron quasi fermi potential [V]","Electrostatic potential [V]","G Impact ionization [cm-3 s-1]","GR Auger [cm-3 s-1]","GR Srh [cm-3 s-1]","Hole Mobility [cm2 s-1 V-1]","Hole density [cm-3]","Hole quasi fermi band level [eV]","Hole quasi fermi potential [V]","Middle band level [eV]","PhosphorusActiveConcentration","Space Charge [cm-3]","Valence band level [eV]","Jp [A cm-2]:0","Jp [A cm-2]:1","Jp [A cm-2]:2","Electron Avalanche field [V cm-1]","Hole Avalanche field [V cm-1]","Electric field [V cm-1]:0","Electric field [V cm-1]:1","Electric field [V cm-1]:2","Electron velocity [cm s-1]:0","Electron velocity [cm s-1]:1","Electron velocity [cm s-1]:2","Grad Electron quasi fermi potential [V cm]:0","Grad Electron quasi fermi potential [V cm]:1","Grad Electron quasi fermi potential [V cm]:2","Grad Hole quasi fermi potential [V cm]:0","Grad Hole quasi fermi potential [V cm]:1","Grad Hole quasi fermi potential [V cm]:2","Hole velocity [cm s-1]:0","Hole velocity [cm s-1]:1","Hole velocity [cm s-1]:2","Jn element [A cm-2]:0","Jn element [A cm-2]:1","Jn element [A cm-2]:2","Jp element [A cm-2]:0","Jp element [A cm-2]:1","Jp element [A cm-2]:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0000000000e+17,-1.3440504175e-08,-1.3440503373e-08,-2.2026978143e-03,1.1000000000e+18,1.0000000000e+17,1.3207273540e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,1.0000000000e+18,4.4150000000e-02,0.0000000000e+00,4.7437726460e-01,0.0000000000e+00,0.0000000000e+00,5.0424067849e-09,4.7049997786e+02,1.1556250000e+02,4.4150000000e-02,0.0000000000e+00,-4.3022726460e-01,0.0000000000e+00,0.0000000000e+00,-9.9252726460e-01,-5.7177705622e-24,-5.8014076839e-24,-3.3664668024e-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0000000000e+00,2.5000000373e-02,2.5000000373e-02,0.0000000000e+00
1.0000000000e+17,-1.3440091271e-08,-1.2902540237e-08,-2.2026972193e-03,1.1000000000e+18,1.0000000000e+17,1.3207322198e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,9.9998118065e+17,4.4149999999e-02,9.7039714210e-13,4.7437677802e-01,0.0000000000e+00,8.4520970063e+10,9.7173393679e+10,4.7049997786e+02,2.9163575929e+05,4.4149999999e-02,3.9982923616e-02,-4.3022677802e-01,0.0000000000e+00,0.0000000000e+00,-9.9252677802e-01,-1.3358725855e-21,2.3364292905e-20,-4.6764908178e-07,0.0000000000e+00,0.0000000000e+00,-2.3283064365e-10,1.3969838619e-09,4.8658177122e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.7039709601e-06,1.1641532183e-10,0.0000000000e+00,3.9982921717e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00,-2.2027045345e-03,-9.8018928931e-24,-0.0000000000e+00,-3.3664668024e-08,1,1.0000000475e-03,2.5000000373e-02,2.5000000373e-02,1.0000000475e-03
1.0000000000e+17,-1.3439679970e-08,-1.2364577100e-08,-2.2026966244e-03,1.1000000000e+18,1.0000000000e+17,1.3207370856e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,9.9996236130e+17,4.4149999998e-02,1.9407942842e-12,4.7437629144e-01,0.0000000000e+00,1.6904194013e+11,1.9434678736e+11,4.7049997786e+02,5.8315595609e+05,4.4149999998e-02,7.9965847233e-02,-4.3022629144e-01,0.0000000000e+00,0.0000000000e+00,-9.9252629144e-01,-2.6660289412e-21,4.6734364188e-20,-9.0163349553e-07,0.0000000000e+00,0.0000000000e+00,-2.3283064365e-10,1.3969838619e-09,4.8658177122e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.7039709601e-06,1.1641532183e-10,0.0000000000e+00,3.9982921717e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00,-2.2027045345e-03,-9.8018928931e-24,-0.0000000000e+00,-3.3664668024e-08,1,2.0000000950e-03,2.5000000373e-02,2.5000000373e-02,2.0000000950e-03
1.0000000000e+17,-1.3439268669e-08,-1.1826614026e-08,-2.2026960295e-03,1.1000000000e+18,1.0000000000e+17,1.3207419514e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,9.9994354196e+17,4.4149999997e-02,2.9111913133e-12,4.7437580486e-01,0.0000000000e+00,2.5356290035e+11,2.9152016972e+11,4.7049997786e+02,8.7467611895e+05,4.4149999997e-02,1.1994876619e-01,-4.3022580486e-01,0.0000000000e+00,0.0000000000e+00,-9.9252580486e-01,-3.9961851419e-21,7.0104432751e-20,-1.3356178588e-06,0.0000000000e+00,0.0000000000e+00,-2.3283064365e-10,1.3969838619e-09,4.8658177122e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.7039709601e-06,1.1641532183e-10,0.0000000000e+00,3.9982921717e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00,-2.2027045345e-03,-9.8018928931e-24,-0.0000000000e+00,-3.3664668024e-08,1,3.0000000261e-03,2.5000000373e-02,2.5000000373e-02,3.0000000261e-03
1.0000000000e+17,-1.3438866981e-08,-1.1288660440e-08,-2.2026954345e-03,1.1000000000e+18,1.0000000000e+17,1.3207468173e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,9.9992472261e+17,4.4149999996e-02,3.8815885684e-12,4.7437531827e-01,0.0000000000e+00,3.3808388025e+11,3.8869357471e+11,4.7049997786e+02,1.1661963497e+06,4.4149999996e-02,1.5993169447e-01,-4.3022531827e-01,0.0000000000e+00,0.0000000000e+00,-9.9252531827e-01,-5.3263401099e-21,9.3474499490e-20,-1.7696023230e-06,0.0000000000e+00,0.0000000000e+00,-6.9849193096e-10,-4.6566128731e-10,4.8658177122e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.7763568394e-10,1.7763568394e-10,9.7039709601e-06,1.1641532183e-10,1.1641532183e-10,3.9982921717e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.0321526943e-08,-4.0321526943e-08,-2.2027045345e-03,-9.8018928931e-24,-9.8018928931e-24,-3.3664668024e-08,1,4.0000001900e-03,2.5000000373e-02,2.5000000373e-02,4.0000001900e-03
1.0000000000e+17,-1.3438455680e-08,-1.0750697491e-08,-2.2026948396e-03,1.1000000000e+18,1.0000000000e+17,1.3207516831e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,9.9990590327e+17,4.4149999995e-02,4.8519853716e-12,4.7437483169e-01,0.0000000000e+00,4.2260482080e+11,4.8586693446e+11,4.7049997786e+02,1.4577164447e+06,4.4149999995e-02,1.9991460412e-01,-4.3022483169e-01,0.0000000000e+00,0.0000000000e+00,-9.9252483169e-01,-6.6564960010e-21,1.1684456261e-19,-2.2035865852e-06,0.0000000000e+00,0.0000000000e+00,-6.9849193096e-10,-4.6566128731e-10,4.8658177122e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.7763568394e-10,1.7763568394e-10,9.7039709601e-06,1.1641532183e-10,1.1641532183e-10,3.9982921717e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.0321526943e-08,-4.0321526943e-08,-2.2027045345e-03,-9.8018928931e-24,-9.8018928931e-24,-3.3664668024e-08,1,4.9999998882e-03,2.5000000373e-02,2.5000000373e-02,4.9999998882e-03
1.0000000000e+17,-1.3438044379e-08,-1.0212734292e-08,-2.2026942446e-03,1.1000000000e+18,1.0000000000e+17,1.3207565489e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,9.9988708392e+17,4.4149999994e-02,5.8223826267e-12,4.7437434511e-01,0.0000000000e+00,5.0712580070e+11,5.8304033945e+11,4.7049997786e+02,1.7492366754e+06,4.4149999994e-02,2.3989753239e-01,-4.3022434511e-01,0.0000000000e+00,0.0000000000e+00,-9.9252434511e-01,-7.9866525115e-21,1.4021463662e-19,-2.6375710495e-06,0.0000000000e+00,0.0000000000e+00,-6.9849193096e-10,-4.6566128731e-10,4.8658177122e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.7763568394e-10,1.7763568394e-10,9.7039709601e-06,1.1641532183e-10,1.1641532183e-10,3.9982921717e+05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.0321526943e-08,-4.0321526943e-08,-2.2027045345e-03,-9.8018928931e-24,-9.8018928931e-24,-3.3664668024e-08,1,6.0000000522e-03,2.5000000373e-02,2.5000000373e-02,6.0000000522e-03
1.0000000000e+17,-1.0214523045e-08,-7.6603063646e-09,-2.2026917650e-03,1.1000000000e+18,1.0000000000e+17,1.3207699411e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,9.9983529959e+17,4.4149999993e-02,6.7929597379e-12,4.7437300589e-01,0.0000000000e+00,5.9158087696e+11,6.8025236847e+11,4.7049997786e+02,2.0408727820e+06,4.4149999993e-02,2.5204323705e-01,-4.3022300589e-01,0.0000000000e+00,0.0000000000e+00,-9.9252300589e-01,4.8548424076e-21,1.3790461432e-19,-3.0802408537e-06,9.7063690451e-06,2.8666342641e+04,-6.9849193096e-10,6.9849193096e-09,1.6234279870e+01,2.5170976417e-07,2.5170976397e-07,1.3753924932e-02,1.7763568396e-10,1.7763568382e-10,9.7063690419e-06,8.1490725279e-10,-3.3760443330e-09,2.8666342641e+04,3.8341386244e-07,-1.5884288587e-06,1.3487514213e+07,-4.0311244421e-08,-4.0311244388e-08,-2.2026870174e-03,-1.5516965340e-19,6.4284570693e-19,-5.4584695823e-06,1,7.0000002161e-03,2.5000000373e-02,2.5000000373e-02,7.0000002161e-03
1.0000000000e+17,-5.9166429102e-09,-4.4363996037e-09,-2.2026886572e-03,1.1000000000e+18,1.0000000000e+17,1.3207861753e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,9.9977252694e+17,4.4149999992e-02,7.7635968012e-12,4.7437138247e-01,0.0000000000e+00,6.7601398536e+11,7.7747727216e+11,4.7049997786e+02,2.3325475140e+06,4.4149999992e-02,2.5490987179e-01,-4.3022138247e-01,0.0000000000e+00,0.0000000000e+00,-9.9252138247e-01,2.2420173030e-20,1.2703460339e-19,-3.5258057697e-06,9.7063690451e-06,2.8666342641e+04,-6.9849193096e-10,6.9849193096e-09,1.6234279870e+01,2.5170976417e-07,2.5170976397e-07,1.3753924932e-02,1.7763568396e-10,1.7763568382e-10,9.7063690419e-06,8.1490725279e-10,-3.3760443330e-09,2.8666342641e+04,3.8341386244e-07,-1.5884288587e-06,1.3487514213e+07,-4.0311244421e-08,-4.0311244388e-08,-2.2026870174e-03,-1.5516965340e-19,6.4284570693e-19,-5.4584695823e-06,1,8.0000003800e-03,2.5000000373e-02,2.5000000373e-02,8.0000003800e-03
1.0000000000e+17,-1.6187667778e-09,-1.2124958452e-09,-2.2026855493e-03,1.1000000000e+18,1.0000000000e+17,1.3208024096e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,9.9970975435e+17,4.4149999991e-02,8.7342329605e-12,4.7436975904e-01,0.0000000000e+00,7.6044701512e+11,8.7470208530e+11,4.7049997786e+02,2.6242219743e+06,4.4149999991e-02,2.5777650385e-01,-4.3021975904e-01,0.0000000000e+00,0.0000000000e+00,-9.9251975904e-01,3.9985487294e-20,1.1616460257e-19,-3.9713702708e-06,9.7063690451e-06,2.8666342641e+04,-6.9849193096e-10,6.9849193096e-09,1.6234279870e+01,2.5170976417e-07,2.5170976397e-07,1.3753924932e-02,1.7763568396e-10,1.7763568382e-10,9.7063690419e-06,8.1490725279e-10,-3.3760443330e-09,2.8666342641e+04,3.8341386244e-07,-1.5884288587e-06,1.3487514213e+07,-4.0311244421e-08,-4.0311244388e-08,-2.2026870174e-03,-1.5516965340e-19,6.4284570693e-19,-5.4584695823e-06,1,8.9999996126e-03,2.5000000373e-02,2.5000000373e-02,8.9999996126e-03
1.0000000000e+17,2.6791101558e-09,2.0114109168e-09,-2.2026824415e-03,1.1000000000e+18,1.0000000000e+17,1.3208186439e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,9.9964698171e+17,4.4149999990e-02,9.7048700238e-12,4.7436813561e-01,0.0000000000e+00,8.4488012351e+11,9.7192698899e+11,4.7049997786e+02,2.9158967062e+06,4.4149999990e-02,2.6064313858e-01,-4.3021813561e-01,0.0000000000e+00,0.0000000000e+00,-9.9251813561e-01,5.7550784233e-20,1.0529458348e-19,-4.4169351869e-06,9.7063690435e-06,2.8666342641e+04,1.8626451492e-09,3.2596290112e-09,1.6234279870e+01,-3.3606879215e-17,-2.5170976423e-07,1.3753924932e-02,-2.3716922523e-20,-1.7763568400e-10,9.7063690419e-06,-8.1490725279e-10,-1.7462298274e-09,2.8666342641e+04,-3.8341386244e-07,-8.2160113379e-07,1.3487514213e+07,5.3821317847e-18,4.0311244431e-08,-2.2026870174e-03,1.5516965340e-19,3.3250640013e-19,-5.4584695823e-06,1,9.9999997765e-03,2.5000000373e-02,2.5000000373e-02,9.9999997765e-03
1.0000000000e+17,6.9769902908e-09,5.2353176777e-09,-2.2026793337e-03,1.1000000000e+18,1.0000000000e+17,1.3208348782e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,9.9958420906e+17,4.4149999989e-02,1.0675507087e-11,4.7436651218e-01,0.0000000000e+00,9.2931323191e+11,1.0691518927e+12,4.7049997786e+02,3.2075714381e+06,4.4149999989e-02,2.6350977332e-01,-4.3021651218e-01,0.0000000000e+00,0.0000000000e+00,-9.9251651218e-01,7.5116114856e-20,9.4424572541e-20,-4.8625001029e-06,9.7063690435e-06,2.8666342641e+04,1.8626451492e-09,3.2596290112e-09,1.6234279870e+01,-3.3606879215e-17,-2.5170976423e-07,1.3753924932e-02,-2.3716922523e-20,-1.7763568400e-10,9.7063690419e-06,-8.1490725279e-10,-1.7462298274e-09,2.8666342641e+04,-3.8341386244e-07,-8.2160113379e-07,1.3487514213e+07,5.3821317847e-18,4.0311244431e-08,-2.2026870174e-03,1.5516965340e-19,3.3250640013e-19,-5.4584695823e-06,1,1.0999999940e-02,2.5000000373e-02,2.5000000373e-02,1.0999999940e-02
1.0000000000e+17,1.1274870426e-08,8.4592244386e-09,-2.2026762258e-03,1.1000000000e+18,1.0000000000e+17,1.3208511125e-01,1.1000000000e+18,1.0000000000e+18,1.0000000000e+18,1.4169997992e+03,9.9952143641e+17,4.4149999988e-02,1.1646144150e-11,4.7436488875e-01,0.0000000000e+00,1.0137463403e+12,1.1663767964e+12,4.7049997786e+02,3.4992461701e+06,4.4149999988e-02,2.6637640805e-01,-4.3021488875e-01,0.0000000000e+00,0.0000000000e+00,-9.9251488875e-01,9.2681445479e-20,8.3554561606e-20,-5.3080650190e-06,9.7063690435e-06,2.8666342641e+04,1.8626451492e-09,3.2596290112e-09,1.6234279870e+01,-3.3606879215e-17,-2.5170976423e-07,1.3753924932e-02,-2.3716922523e-20,-1.7763568400e-10,9.7063690419e-06,-8.1490725279e-10,-1.7462298274e-09,2.8666342641e+04,-3.8341386244e-07,-8.2160113379e-07,1.3487514213e+07,5.3821317847e-18,4.0311244431e-08,-2.2026870174e-03,1.5516965340e-19,3.3250640013e-19,-5.4584695823e-06,1,1.2000000104e-02,2.5000000373e-02,2.5000000373e-02,1.2000000104e-02
