#Acceptor concentration [cm-3]	Jn [A cm-2]:0	Jn [A cm-2]:1	Jn [A cm-2]:2	ArsenicActiveConcentration	BoronActiveConcentration	Conduction band level [eV]	Donor concentration [cm-3]	Dopant concentration [cm-3]	DopingConcentration	Electron Mobility [cm2 s-1 V-1]	Electron density [cm-3]	Electron quasi fermi band level [eV]	Electron quasi fermi potential [V]	Electrostatic potential [V]	G Impact ionization [cm-3 s-1]	GR Auger [cm-3 s-1]	GR Srh [cm-3 s-1]	Hole Mobility [cm2 s-1 V-1]	Hole density [cm-3]	Hole quasi fermi band level [eV]	Hole quasi fermi potential [V]	Middle band level [eV]	PhosphorusActiveConcentration	Space Charge [cm-3]	Valence band level [eV]	Jp [A cm-2]:0	Jp [A cm-2]:1	Jp [A cm-2]:2	Electron Avalanche field [V cm-1]	Hole Avalanche field [V cm-1]	Electric field [V cm-1]:0	Electric field [V cm-1]:1	Electric field [V cm-1]:2	Electron velocity [cm s-1]:0	Electron velocity [cm s-1]:1	Electron velocity [cm s-1]:2	Grad Electron quasi fermi potential [V cm]:0	Grad Electron quasi fermi potential [V cm]:1	Grad Electron quasi fermi potential [V cm]:2	Grad Hole quasi fermi potential [V cm]:0	Grad Hole quasi fermi potential [V cm]:1	Grad Hole quasi fermi potential [V cm]:2	Hole velocity [cm s-1]:0	Hole velocity [cm s-1]:1	Hole velocity [cm s-1]:2	Jn element [A cm-2]:0	Jn element [A cm-2]:1	Jn element [A cm-2]:2	Jp element [A cm-2]:0	Jp element [A cm-2]:1	Jp element [A cm-2]:2	vtkValidPointMask	arc_length	Points:0	Points:1	Points:2
1.00E+017	-8.94E-007	-5.73E-008	4.04E-006	4.74E+017	1.00E+017	1.57E-001	4.74E+017	3.74E+017	3.74E+017	1.42E+003	3.82E+017	4.42E-002	5.29E-014	4.49E-001	0.00E+000	-4.92E-005	-3.72E-004	4.70E+002	3.07E+002	4.42E-002	1.50E-013	-4.05E-001	0.00E+000	0.00E+000	-9.67E-001	-4.13E-022	5.81E-022	1.66E-022	0.00E+000	0.00E+000	-5.03E+003	-4.63E+002	-7.64E+003	0.00E+000	0.00E+000	0.00E+000	1.21E-008	2.22E-010	-4.47E-008	3.05E-008	-1.33E-008	9.59E-009	0.00E+000	0.00E+000	0.00E+000	-9.76E-007	-1.79E-008	3.60E-006	-7.45E-022	3.24E-022	-2.34E-022	1	0.00E+000	0.00E+000	2.00E-002	2.60E-001
1.00E+017	-1.36E-006	-7.08E-008	4.42E-006	5.29E+017	1.00E+017	1.55E-001	5.29E+017	4.29E+017	4.29E+017	1.42E+003	4.08E+017	4.42E-002	5.71E-014	4.51E-001	0.00E+000	-5.18E-005	-3.53E-004	4.70E+002	2.85E+002	4.42E-002	1.54E-013	-4.07E-001	0.00E+000	0.00E+000	-9.69E-001	-4.49E-022	5.89E-022	3.31E-022	0.00E+000	0.00E+000	-6.63E+003	-9.75E+002	-8.29E+003	0.00E+000	0.00E+000	0.00E+000	7.99E-009	1.61E-009	-5.18E-008	1.44E-008	-2.45E-008	9.12E-009	0.00E+000	0.00E+000	0.00E+000	-8.08E-007	-1.63E-007	5.23E-006	-2.81E-022	4.76E-022	-1.77E-022	1	3.00E-003	3.00E-003	2.00E-002	2.60E-001
1.00E+017	-1.86E-006	-7.87E-008	4.98E-006	5.89E+017	1.00E+017	1.53E-001	5.89E+017	4.89E+017	4.89E+017	1.42E+003	4.43E+017	4.42E-002	5.95E-014	4.53E-001	0.00E+000	-5.82E-005	-3.31E-004	4.70E+002	2.65E+002	4.42E-002	1.59E-013	-4.09E-001	0.00E+000	0.00E+000	-9.71E-001	-4.04E-022	6.51E-022	5.07E-022	0.00E+000	0.00E+000	-6.63E+003	-9.75E+002	-8.29E+003	0.00E+000	0.00E+000	0.00E+000	7.99E-009	1.61E-009	-5.18E-008	1.44E-008	-2.45E-008	9.12E-009	0.00E+000	0.00E+000	0.00E+000	-8.08E-007	-1.63E-007	5.23E-006	-2.81E-022	4.76E-022	-1.77E-022	1	6.00E-003	6.00E-003	2.00E-002	2.60E-001
1.00E+017	-2.37E-006	-8.66E-008	5.54E-006	6.49E+017	1.00E+017	1.51E-001	6.49E+017	5.49E+017	5.49E+017	1.42E+003	4.79E+017	4.42E-002	6.19E-014	4.55E-001	0.00E+000	-6.45E-005	-3.09E-004	4.70E+002	2.46E+002	4.42E-002	1.63E-013	-4.11E-001	0.00E+000	0.00E+000	-9.73E-001	-3.58E-022	7.13E-022	6.83E-022	0.00E+000	0.00E+000	-6.63E+003	-9.75E+002	-8.29E+003	0.00E+000	0.00E+000	0.00E+000	7.99E-009	1.61E-009	-5.18E-008	1.44E-008	-2.45E-008	9.12E-009	0.00E+000	0.00E+000	0.00E+000	-8.08E-007	-1.63E-007	5.23E-006	-2.81E-022	4.76E-022	-1.77E-022	1	9.00E-003	9.00E-003	2.00E-002	2.60E-001
1.00E+017	-3.47E-006	-1.08E-007	6.01E-006	6.94E+017	1.00E+017	1.50E-001	6.94E+017	5.94E+017	5.94E+017	1.42E+003	5.05E+017	4.42E-002	7.50E-014	4.57E-001	0.00E+000	-6.14E-005	-2.65E-004	4.70E+002	2.30E+002	4.42E-002	1.67E-013	-4.13E-001	0.00E+000	0.00E+000	-9.75E-001	-5.40E-022	7.59E-022	6.50E-022	0.00E+000	0.00E+000	-5.07E+003	-4.10E+003	-8.35E+003	0.00E+000	0.00E+000	0.00E+000	3.25E-008	1.44E-009	-6.90E-008	4.38E-009	-1.01E-007	4.74E-010	0.00E+000	0.00E+000	0.00E+000	-3.94E-006	-1.75E-007	8.37E-006	-7.09E-023	1.63E-021	-7.66E-024	1	1.20E-002	1.20E-002	2.00E-002	2.60E-001
1.00E+017	-5.01E-006	-1.18E-007	7.82E-006	7.41E+017	1.00E+017	1.48E-001	7.41E+017	6.41E+017	6.41E+017	1.42E+003	5.39E+017	4.42E-002	8.48E-014	4.58E-001	0.00E+000	-5.96E-005	-2.27E-004	4.70E+002	2.18E+002	4.42E-002	1.68E-013	-4.14E-001	0.00E+000	0.00E+000	-9.76E-001	-8.51E-022	7.91E-022	7.23E-022	0.00E+000	0.00E+000	-5.07E+003	-4.10E+003	-8.35E+003	0.00E+000	0.00E+000	0.00E+000	3.25E-008	1.44E-009	-6.90E-008	4.38E-009	-1.01E-007	4.74E-010	0.00E+000	0.00E+000	0.00E+000	-3.94E-006	-1.75E-007	8.37E-006	-7.09E-023	1.63E-021	-7.66E-024	1	1.50E-002	1.50E-002	2.00E-002	2.60E-001
1.00E+017	-6.55E-006	-1.29E-007	9.63E-006	7.88E+017	1.00E+017	1.47E-001	7.88E+017	6.88E+017	6.88E+017	1.42E+003	5.72E+017	4.42E-002	9.45E-014	4.60E-001	0.00E+000	-5.79E-005	-1.89E-004	4.70E+002	2.06E+002	4.42E-002	1.69E-013	-4.16E-001	0.00E+000	0.00E+000	-9.78E-001	-1.16E-021	8.22E-022	7.96E-022	0.00E+000	0.00E+000	-5.07E+003	-4.10E+003	-8.35E+003	0.00E+000	0.00E+000	0.00E+000	3.25E-008	1.44E-009	-6.90E-008	4.38E-009	-1.01E-007	4.74E-010	0.00E+000	0.00E+000	0.00E+000	-3.94E-006	-1.75E-007	8.37E-006	-7.09E-023	1.63E-021	-7.66E-024	1	1.80E-002	1.80E-002	2.00E-002	2.60E-001
1.00E+017	-8.17E-006	-1.43E-007	1.01E-005	8.03E+017	1.00E+017	1.46E-001	8.03E+017	7.03E+017	7.03E+017	1.42E+003	5.85E+017	4.42E-002	1.20E-013	4.60E-001	0.00E+000	-6.02E-005	-1.91E-004	4.70E+002	2.00E+002	4.42E-002	1.96E-013	-4.16E-001	0.00E+000	0.00E+000	-9.78E-001	-1.58E-021	8.12E-022	4.05E-022	0.00E+000	0.00E+000	-1.14E+003	-4.95E+003	-8.35E+003	0.00E+000	0.00E+000	0.00E+000	1.01E-007	2.44E-009	-6.90E-008	1.19E-007	-3.28E-008	4.74E-010	0.00E+000	0.00E+000	0.00E+000	-1.13E-005	-2.73E-007	7.72E-006	-2.07E-021	5.70E-022	-8.22E-024	1	2.10E-002	2.10E-002	2.00E-002	2.60E-001
1.00E+017	-1.25E-005	-1.69E-007	9.44E-006	8.07E+017	1.00E+017	1.46E-001	8.07E+017	7.07E+017	7.07E+017	1.42E+003	5.89E+017	4.42E-002	1.51E-013	4.61E-001	0.00E+000	-9.03E-005	-2.75E-004	4.70E+002	1.99E+002	4.42E-002	2.65E-013	-4.16E-001	0.00E+000	0.00E+000	-9.79E-001	-2.61E-021	7.53E-022	-3.51E-022	0.00E+000	0.00E+000	-5.27E+002	-4.91E+003	-7.73E+003	0.00E+000	0.00E+000	0.00E+000	1.07E-007	-1.11E-009	-6.34E-008	2.37E-007	-2.06E-008	1.18E-007	0.00E+000	0.00E+000	0.00E+000	-1.33E-005	1.39E-007	7.93E-006	-3.72E-021	3.23E-022	-1.85E-021	1	2.40E-002	2.40E-002	2.00E-002	2.60E-001
1.00E+017	-1.71E-005	-1.97E-007	8.77E-006	8.12E+017	1.00E+017	1.46E-001	8.12E+017	7.12E+017	7.12E+017	1.42E+003	5.93E+017	4.42E-002	1.83E-013	4.61E-001	0.00E+000	-1.23E-004	-3.66E-004	4.70E+002	1.98E+002	4.42E-002	3.36E-013	-4.17E-001	0.00E+000	0.00E+000	-9.79E-001	-3.69E-021	6.89E-022	-1.13E-021	0.00E+000	0.00E+000	-5.27E+002	-4.91E+003	-7.73E+003	0.00E+000	0.00E+000	0.00E+000	1.07E-007	-1.11E-009	-6.34E-008	2.37E-007	-2.06E-008	1.18E-007	0.00E+000	0.00E+000	0.00E+000	-1.33E-005	1.39E-007	7.93E-006	-3.72E-021	3.23E-022	-1.85E-021	1	2.70E-002	2.70E-002	2.00E-002	2.60E-001
1.00E+017	-1.96E-005	-2.47E-007	8.10E-006	8.14E+017	1.00E+017	1.46E-001	8.14E+017	7.14E+017	7.14E+017	1.42E+003	5.91E+017	4.42E-002	2.25E-013	4.61E-001	0.00E+000	-1.39E-004	-4.20E-004	4.70E+002	1.99E+002	4.42E-002	3.98E-013	-4.16E-001	0.00E+000	0.00E+000	-9.79E-001	-4.16E-021	5.86E-022	-2.40E-021	0.00E+000	0.00E+000	1.01E+003	-5.18E+003	-7.73E+003	0.00E+000	0.00E+000	0.00E+000	1.59E-007	4.50E-009	-6.34E-008	1.92E-007	7.38E-008	1.18E-007	0.00E+000	0.00E+000	0.00E+000	-1.75E-005	-4.96E-007	6.99E-006	-3.37E-021	-1.30E-021	-2.07E-021	1	3.00E-002	3.00E-002	2.00E-002	2.60E-001
1.00E+017	-2.03E-005	-3.74E-007	6.26E-006	8.14E+017	1.00E+017	1.46E-001	8.14E+017	7.14E+017	7.14E+017	1.42E+003	5.82E+017	4.42E-002	2.81E-013	4.60E-001	0.00E+000	-1.77E-004	-5.58E-004	4.70E+002	2.02E+002	4.41E-002	5.06E-013	-4.16E-001	0.00E+000	0.00E+000	-9.78E-001	-4.27E-021	2.95E-022	-4.33E-021	0.00E+000	0.00E+000	1.47E+003	4.84E+003	-7.26E+003	0.00E+000	0.00E+000	0.00E+000	1.94E-007	-1.11E-010	-2.86E-008	4.05E-007	-1.81E-007	3.31E-007	0.00E+000	0.00E+000	0.00E+000	-2.37E-005	1.36E-008	3.51E-006	-6.47E-021	2.89E-021	-5.29E-021	1	3.30E-002	3.30E-002	2.00E-002	2.60E-001
